Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Pathak G., Mohanty D., Dwivedi S.K., Singh B., Panigrahi B.K.","56723743500;57209602592;56770736200;7405638726;25637555100;","Implementation of MVF-Based Control Technique for 3-Φ Distribution Static Compensator",2019,"Journal of The Institution of Engineers (India): Series B","100","6",,"589","597",,5,"10.1007/s40031-019-00417-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068236144&doi=10.1007%2fs40031-019-00417-9&partnerID=40&md5=ab129131440f8f1f9eaef9981c90e995","Department of Electrical Engineering, College of Technology, GBPUAT, U S Nagar, Pantnagar, UK  263145, India; Department of Electrical Engineering, VSSUT, Burla, Sambalpur, Odisa, India; Department of Electrical Engineering, Indian Institute of Technology – Delhi, Hauz Khas, New Delhi, 110016, India","Pathak, G., Department of Electrical Engineering, College of Technology, GBPUAT, U S Nagar, Pantnagar, UK  263145, India; Mohanty, D., Department of Electrical Engineering, VSSUT, Burla, Sambalpur, Odisa, India; Dwivedi, S.K., Department of Electrical Engineering, Indian Institute of Technology – Delhi, Hauz Khas, New Delhi, 110016, India; Singh, B., Department of Electrical Engineering, Indian Institute of Technology – Delhi, Hauz Khas, New Delhi, 110016, India; Panigrahi, B.K., Department of Electrical Engineering, Indian Institute of Technology – Delhi, Hauz Khas, New Delhi, 110016, India","A MVF (multivariable filter)-based control scheme is applied to a DSTATCOM (Distribution Static Compensator) for power quality improvement. This DSTATCOM is used to supply the reactive power for PFC (power factor correction) of linear loads and to mitigate the load current harmonics and load balancing of nonlinear unbalanced loads. This MVF-based control scheme is applied for extracting the positive sequence components from the distorted input quantities. Simulated results are taken after modeling the DSTATCOM in MATLAB/Simulink environment. Experimental results are also presented to demonstrate satisfactory performance on a developed prototype of DSTATCOM in the laboratory. © 2019, The Institution of Engineers (India).","Control algorithm; DSTATCOM; Multivariable filter (MVF); Power quality (PQ); VSC (voltage source converter)","Algorithms; Power quality; Static synchronous compensators; Distribution static compensator; DSTATCOM; MATLAB/Simulink environment; Multi variables; Positive-sequence components; Power factor corrections; Power quality improvement; VSC (voltage source converter); Quality control","Pathak, G.; Department of Electrical Engineering, U S Nagar, India; email: pathakgita28@gmail.com",,"Springer",22502106,,,,"English","J. Inst. Eng. Ser. B",Article,"Final","",Scopus,2-s2.0-85068236144
"Singh S., Seema, Singh B., Panigrahi B.K., Kushwaha M.K.","57226080816;41762537000;7405638726;25637555100;57208800469;","Delayed mu-Law Proportionate Adaptive Filter Based Control Approach for Weak Distribution Grid",2019,"Proceedings - 2019 International Conference on Electrical, Electronics and Computer Engineering, UPCON 2019",,,"8980272","","",,2,"10.1109/UPCON47278.2019.8980272","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084280978&doi=10.1109%2fUPCON47278.2019.8980272&partnerID=40&md5=d3dc3a64594d38624d32ca0baaa089b9",,"Singh, S.; Seema; Singh, B.; Panigrahi, B.K.; Kushwaha, M.K.","This paper presents a new control approach for a multifunctional VSC (Voltage Source Converter) used as a DSTATCOM (Distribution Static Compensator) in the weak distribution system at nonlinear load. A delayed mu-Law proportionate normalized least mean square (DMPNLMS) adaptive filter based control technique is implemented for DSTATCOM. The proposed control algorithm provides the fast convergence of the control variables with low steady-state error. Therefore, the DSTATCOM is capable of mitigating the load current harmonics from the grid currents and balancing them even though the grid voltages are unbalanced and distorted. The proposed algorithm for DSTATCOM is tested on a laboratory prototype under weak grid conditions and unbalanced nonlinear loading. The DSTATCOM is capable of maintaining the sinusoidal grid currents at abnormal grid conditions. © 2019 IEEE.","Distorted Grid; DMPNLMS; DSTATCOM; LMF; LMS; Power Quality","Adaptive filtering; Balancing; Static synchronous compensators; Control techniques; Distribution grid; Distribution systems; Fast convergence; Nonlinear loading; Normalized least mean square; Steady state errors; VSC (voltage source converter); Adaptive filters",,,"Institute of Electrical and Electronics Engineers Inc.",,9781728134550,,,"English","Proc. - Int. Conf. Electr., Electron. Comput. Eng., UPCON",Conference Paper,"Final","",Scopus,2-s2.0-85084280978
"Konda S.R., Al-Sumaiti A.S., Panwar L.K., Panigrahi B.K., Kumar R.","57193257552;56027880200;56539869600;25637555100;57217697241;","Impact of Load Profile on Dynamic Interactions between Energy Markets: A Case Study of Power Exchange and Demand Response Exchange",2019,"IEEE Transactions on Industrial Informatics","15","11","8686190","5855","5866",,16,"10.1109/TII.2019.2910349","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077495539&doi=10.1109%2fTII.2019.2910349&partnerID=40&md5=e9bfafe4f43bd227168a57cd7f4af68d","Department of Electrical and Computer Engineering, Khalifa University, Abu Dhabi, 127788, United Arab Emirates; Advanced Power and Energy Center, United States; Centre for Energy Studies, IIT Delhi, Delhi, 110016, India; Department of Electrical Engineering, IIT Delhi, Delhi, 110016, India; Department of Electrical Engineering, Malaviya National Institute of Technology (MNIT) Jaipur, Jaipur, 302017, India","Konda, S.R., Department of Electrical and Computer Engineering, Khalifa University, Abu Dhabi, 127788, United Arab Emirates; Al-Sumaiti, A.S., Department of Electrical and Computer Engineering, Khalifa University, Abu Dhabi, 127788, United Arab Emirates, Advanced Power and Energy Center, United States; Panwar, L.K., Centre for Energy Studies, IIT Delhi, Delhi, 110016, India; Panigrahi, B.K., Department of Electrical Engineering, IIT Delhi, Delhi, 110016, India; Kumar, R., Department of Electrical Engineering, Malaviya National Institute of Technology (MNIT) Jaipur, Jaipur, 302017, India","Demand response exchange (DRX) presents a pool-based approach for optimal clearing/scheduling of demand response (DR) services through bid clearing. The same is intended to minimize the limitations of price-based and incentive-based mechanisms. However, unlike the price-based or incentive-based DR schemes, the DR sellers in DRX do not have a clear motivation to formulate the bid offers. Similarly, the DR buyers' bid formulation should also include optimal benefit analysis. This paper formulates and analyzes the bid formulation for DR sellers and buyers considering respective operation objectives. The DR seller bid formulation is derived considering load behavior through utilization index and availability index obtained from load profile of respective loads. On the other hand, DR buyer bid formulation is derived from power exchange operation attributes/cost of generation. Therefore, the DR clearing ultimately affects the operational cost of operation which, in turn, is reflected in DR buying bid and DR clearing finally. This paper develops an iterative approach in which the continuous interactions between ISO/power exchange would finally converge to a stable operation. The load profile-based strategic bid formulation is modeled using mathematical as well as fuzzy inference system (FIS). In addition, an adaptive FIS has been devised to improve the performance of DR scheduling. The simulation results illustrate the impact of customer behavior, intelligent decision-making, and penetration level on the performance and convergence of power markets (DRX and power exchange). © 2005-2012 IEEE.","Customer baseline load; demand response; demand response exchange; energy markets; independent system operator; load profiling","Commerce; Decision making; Electric utilities; Fuzzy inference; Sales; Customer baseline loads; Demand response; Demand response exchanges; Energy markets; Independent system operators; Load profiling; Power markets","Konda, S.R.; Department of Electrical and Computer Engineering, United Arab Emirates; email: srikanthkonda.eee@gmail.com",,"IEEE Computer Society",15513203,,,,"English","IEEE Trans. Ind. Inf.",Article,"Final","",Scopus,2-s2.0-85077495539
"Kumar N., Singh B., Panigrahi B.K.","57200038451;7405638726;25637555100;","ANOVA Kernel Kalman Filter for Multi-Objective Grid Integrated Solar Photovoltaic-Distribution Static Compensator",2019,"IEEE Transactions on Circuits and Systems I: Regular Papers","66","11","8748207","4256","4264",,37,"10.1109/TCSI.2019.2922405","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073568280&doi=10.1109%2fTCSI.2019.2922405&partnerID=40&md5=3fff45db2428d9f6d22ed53167f7116d","Department of Electrical Engineering, IIT Delhi, New Delhi, 110016, India","Kumar, N., Department of Electrical Engineering, IIT Delhi, New Delhi, 110016, India; Singh, B., Department of Electrical Engineering, IIT Delhi, New Delhi, 110016, India; Panigrahi, B.K., Department of Electrical Engineering, IIT Delhi, New Delhi, 110016, India","In this paper, a novel ANOVA Kernel Kalman Filter (AKKF)-based adaptive control algorithm is introduced which is used for accurate harmonics support during operation of grid-integrated solar energy conversion system (SECS). For grid integrated SECS, a single-phase two-stage topology is considered, where local loads are attached on common point of interconnection (CPI), and a battery is attached on DC link. The AKKF is the improved form of Kalman Filter (KF), where the ANOVA Kernel (AK) trick is hybridized to improve the estimation accuracy of the KF. The objective of proposed control technique is to use this solar power to fulfil the load requirement. After satisfying the load requirement, the rest of solar power is fed to the grid. However, when the solar power is not available (in nighttime), then the system operates as Distribution Static Compensator (DSTATCOM), which provides reactive power support to the grid. The performance of the developed control technique is validated through experimentation on a developed prototype. During testing, adverse grid conditions, solar insolation variation, and load unbalance conditions are considered for satisfying the motive of the developed control technique. © 2004-2012 IEEE.","ANOVA Kernel Kalman filter; grid integration; grid-tied solar array; power quality; Solar PV generation","Adaptive control systems; Analysis of variance (ANOVA); Electric power transmission networks; Photovoltaic cells; Power quality; Solar cell arrays; Solar energy; Solar power generation; Static synchronous compensators; Adaptive control algorithms; Control techniques; Distribution static compensator; Grid integration; Reactive power support; Solar arrays; Solar photovoltaics; Solar PVs; Kalman filters","Kumar, N.; Department of Electrical Engineering, India; email: nishant.kumar1729@gmail.com",,"Institute of Electrical and Electronics Engineers Inc.",15498328,,,,"English","IEEE Trans. Circuits Syst. Regul. Pap.",Article,"Final","",Scopus,2-s2.0-85073568280
"Kumar N., Singh B., Panigrahi B.K., Chakraborty C., Suryawanshi H.M., Verma V.","57200038451;7405638726;25637555100;57220529109;6507872003;57209315334;","Integration of solar PV with low-voltage weak grid system: Using normalized laplacian kernel adaptive kalman filter and learning based InC algorithm",2019,"IEEE Transactions on Power Electronics","34","11","8637800","10746","10758",,62,"10.1109/TPEL.2019.2898319","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072130374&doi=10.1109%2fTPEL.2019.2898319&partnerID=40&md5=025bf5d5d56381f78067140b805490f8","Department of Electrical Engineering, Indian Institute of Technology Delhi, New Delhi, 110016, India; Department of Electrical Engineering, Indian Institute of Technology Kharagpur, Kharagpur, 721302, India; Department of Electrical Engineering, Visvesvaraya National Institute of Technology, Nagpur, 440010, India; Department of Electrical Engineering, Delhi Technological University, Delhi, 110042, India","Kumar, N., Department of Electrical Engineering, Indian Institute of Technology Delhi, New Delhi, 110016, India; Singh, B., Department of Electrical Engineering, Indian Institute of Technology Delhi, New Delhi, 110016, India; Panigrahi, B.K., Department of Electrical Engineering, Indian Institute of Technology Delhi, New Delhi, 110016, India; Chakraborty, C., Department of Electrical Engineering, Indian Institute of Technology Kharagpur, Kharagpur, 721302, India; Suryawanshi, H.M., Department of Electrical Engineering, Visvesvaraya National Institute of Technology, Nagpur, 440010, India; Verma, V., Department of Electrical Engineering, Delhi Technological University, Delhi, 110042, India","This paper proposes a novel normalized Laplacian kernel adaptive Kalman filter (NLKAKF) based control technique and learning based incremental conductance (LIC) maximum power point tracking (MPPT) algorithm, for low-voltage weak grid-integrated solar photovoltaic (PV) system. Here, a two-stage topology of three-phase grid integrated solar PV system is implemented, where the loads are connected at the point of common coupling. Proposed LIC is the improved form of incremental conductance (InC) algorithm, where inherent problems of traditional InC technique, such as steady-state oscillation, slow dynamic responses, and fixed step size issues, are successfully mitigated. The prime objective of proposed NLKAKF control is to meet the active power requirement of the loads from generated solar PV power, and after feeding load, excess power is fed to the grid. However, when generated PV power is less than the required load power, then NLKAKF control meets the load by taking extra required power from the grid. During this process, power quality is improved at the grid. The controller action provides reactive power compensation, power factor correction, and harmonics filtering and mitigation of other power quality issues. Moreover, when the solar irradiation is zero than voltage source converter acts as a distribution static compensator (DSTATCOM), which enhances the utilization factor of the system. The proposed techniques are modeled and their performances are verified experimentally on a developed prototype, in solar insolation variation conditions, unbalanced loading, as well as in different grid disturbances such as overvoltage, undervoltage, phase imbalance, harmonics distortion in the grid voltage, etc. © 1986-2012 IEEE.","Distribution static compensator (DSTATCOM); grid integrated system; learning based incremental conductance (LIC) maximum power point tracking (MPPT); normalized Laplacian kernel adaptive Kalman filter (NLKAKF) control; power quality; solar photovoltaic (PV) array","Adaptive control systems; Adaptive filtering; Adaptive filters; Convolution; Electric power transmission networks; Indium compounds; Kalman filters; Laplace transforms; Learning algorithms; Learning systems; Maximum power point trackers; Photovoltaic cells; Power control; Power quality; Quality control; Reactive power; Solar concentrators; Solar power generation; Solar radiation; Static synchronous compensators; Adaptive kalman filter; Distribution static compensator; Integrated systems; Maximum Power Point Tracking; Solar photovoltaics; Electric power system control","Kumar, N.; Department of Electrical Engineering, India; email: nishant.kumar1729@gmail.com",,"Institute of Electrical and Electronics Engineers Inc.",08858993,,ITPEE,,"English","IEEE Trans Power Electron",Article,"Final","",Scopus,2-s2.0-85072130374
"Pradhan S., Murshid S., Singh B., Panigrahi B.K.","57194649381;57200085497;7405638726;25637555100;","Performance Investigation of Multifunctional On-Grid Hybrid Wind-PV System with OASC and MAF-Based Control",2019,"IEEE Transactions on Power Electronics","34","11","8648286","10808","10822",,15,"10.1109/TPEL.2019.2900759","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072114234&doi=10.1109%2fTPEL.2019.2900759&partnerID=40&md5=df4ec0a9197fa1a33eaf7f97c03d1b1f","Department of Electrical Engineering, Indian Institute of Technology Delhi, New Delhi, 110016, India","Pradhan, S., Department of Electrical Engineering, Indian Institute of Technology Delhi, New Delhi, 110016, India; Murshid, S., Department of Electrical Engineering, Indian Institute of Technology Delhi, New Delhi, 110016, India; Singh, B., Department of Electrical Engineering, Indian Institute of Technology Delhi, New Delhi, 110016, India; Panigrahi, B.K., Department of Electrical Engineering, Indian Institute of Technology Delhi, New Delhi, 110016, India","An observer-based adaptive speed control (OASC) and a multistage adaptive filter (MAF) based control structure are proposed for an on-grid hybrid wind-photovoltaic (PV) system to deal with the two major issues such as peak wind power extraction and mitigation of power quality problems, respectively. The OASC is an adaptive control alongside exhibiting robustness against uncertainties (structured and unstructured). The objective of peak wind power extraction is met through cascaded control, which includes an inner hysteresis current control and an outer speed control based on OASC. The proposed OASC includes a disturbance observer loop with backstepping control. Moreover, it incorporates a discontinuous projection law-based adaptive parameter estimation, thereby resulting in a sense of hybrid control implementation. The outer speed control loop provides the reference stator current to the inner loop retaining maximum power point tracking. For enhancement of system reliability, another renewable source (solar PV array) is integrated at the dc link. The connection between the hybrid system and the grid is established through an inverter incorporating the proposed MAF-based control. Herein, the effects of nonlinear balanced and unbalanced loads are addressed through the incorporation of vectorial approach for extracting fundamental positive sequence components from nonlinear load currents to realize harmonic-free fundamental reference currents for the grid. The proposed controls are simulated and compared with the conventional techniques. The control implementation and performance testing are carried out on the hybrid system built in the laboratory. © 2019 IEEE.","Adaptive filter; disturbance observer; power quality; projection law; solar photovoltaic (PV) array; total harmonic distortion (THD); wind energy conversion system (WECS)","Adaptive control systems; Adaptive filtering; Adaptive filters; Backstepping; Electric current control; Extraction; Hybrid systems; Maximum power point trackers; Photovoltaic cells; Power quality; Quality control; Solar power generation; Speed control; Speed regulators; Wind power; Disturbance observer; projection law; Solar photovoltaics; Total harmonic distortion (THD); Wind energy conversion system; Electric power system control","Pradhan, S.; Department of Electrical Engineering, India; email: subarni89@gmail.com",,"Institute of Electrical and Electronics Engineers Inc.",08858993,,ITPEE,,"English","IEEE Trans Power Electron",Article,"Final","",Scopus,2-s2.0-85072114234
"Kumar N., Singh B., Panigrahi B.K.","57200038451;7405638726;25637555100;","Integration of Solar PV With Low-Voltage Weak Grid System: Using Maximize-M Kalman Filter and Self-Tuned P&O Algorithm",2019,"IEEE Transactions on Industrial Electronics","66","11","8600726","9013","9022",,69,"10.1109/TIE.2018.2889617","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068641382&doi=10.1109%2fTIE.2018.2889617&partnerID=40&md5=f2d307508854a6e695aa225a5bef1cc9","Department of Electrical Engineering, Indian Institute of Technology Delhi, New Delhi, India","Kumar, N., Department of Electrical Engineering, Indian Institute of Technology Delhi, New Delhi, India; Singh, B., Department of Electrical Engineering, Indian Institute of Technology Delhi, New Delhi, India; Panigrahi, B.K., Department of Electrical Engineering, Indian Institute of Technology Delhi, New Delhi, India","This paper introduces a novel self-tuned perturb and observe (SPO) algorithm for quick maximum power point tracking (MPPT) and a novel maximize-M Kalman filter (MMKF)-based control technique for optimal operation of grid-integrated solar photovoltaic (PV) energy conversion system, where linear/nonlinear loads are attached at point of common coupling (PCC). The proposed SPO is the improved form of perturb and observe (P&O) algorithm, where inherent problems of traditional P&O such as steady-state oscillation, slow dynamic responses, and fixed step size issues, are successfully mitigated. Therefore, SPO tracks maximum power peak (MPP) very rapidly, and it very accurately extracts maximum power from the PV array. The extracted power is used to meet the active power requirement of loads, and after meeting the load demand, the excess power is supplied to the grid. During power feeding, the power quality and power management are maintained by the MMKF-based control technique. In control strategy, the MMKF is used for fundamental harmonic component extraction from the grid voltage and load current, even when the grid voltage is characterized by adverse situations, such as sag, swell, harmonic distortion, dc offset, etc. Here, the SPO MPPT algorithm and MMKF-based control techniques are tested on a developed prototype. The efficient and reliable performances of SPO MPPT algorithm and MMKF-based control algorithm, in dynamic as well as in steady-state condition, are demonstrated under insolation variation conditions, nonlinear loading, as well as in different grid disturbances such as overvoltage, undervoltage, phase imbalance, harmonics distortion in the grid voltage, etc. © 2018 IEEE.","Maximize-M Kalman filter (MMKF); maximum power point tracking (MPPT); nonlinear load; power quality; self-tuned perturb and observe (SPO); solar photovoltaic (PV)","Electric fault currents; Electric power transmission networks; Harmonic analysis; Kalman filters; Maximum power point trackers; Photovoltaic cells; Power quality; Quality control; Solar concentrators; Solar power generation; Maximize-M Kalman filter (MMKF); Maximum Power Point Tracking; Nonlinear load; Perturb and observe; Solar photovoltaics; Electric power system control","Kumar, N.; Department of Electrical Engineering, India; email: nishant.kumar1729@gmail.com",,"Institute of Electrical and Electronics Engineers Inc.",02780046,,ITIED,,"English","IEEE Trans Ind Electron",Article,"Final","",Scopus,2-s2.0-85068641382
"Kumar N., Singh B., Panigrahi B.K., Xu L.","57200038451;7405638726;25637555100;55547112314;","Leaky-Least-Logarithmic-Absolute-Difference-Based Control Algorithm and Learning-Based InC MPPT Technique for Grid-Integrated PV System",2019,"IEEE Transactions on Industrial Electronics","66","11","8605505","9003","9012",,82,"10.1109/TIE.2018.2890497","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059810105&doi=10.1109%2fTIE.2018.2890497&partnerID=40&md5=bc6983ad39f59a07a26c338d937cc79b","Department of Electrical Engineering, Indian Institute of Technology Delhi, New Delhi, India; Department of Electronic and Electrical Engineering, University of Strathclyde, Glasgow, United Kingdom","Kumar, N., Department of Electrical Engineering, Indian Institute of Technology Delhi, New Delhi, India; Singh, B., Department of Electrical Engineering, Indian Institute of Technology Delhi, New Delhi, India; Panigrahi, B.K., Department of Electrical Engineering, Indian Institute of Technology Delhi, New Delhi, India; Xu, L., Department of Electronic and Electrical Engineering, University of Strathclyde, Glasgow, United Kingdom","This paper introduces a novel leaky least logarithmic absolute difference (LLLAD)-based control algorithm and a learning-based incremental conductance (LIC) maximum power point tracking algorithm for a grid-integrated solar photovoltaic (PV) system. Here, a three-phase topology of the grid-integrated PV system is implemented, with the nonlinear/linear loads. The proposed LIC technique is an improved form of an incremental conductance (InC) algorithm, where inherent problems of the traditional InC technique, such as steady-state oscillations, slow dynamic responses, and fixed-step-size issues, are successfully mitigated. The prime objective of the proposed LLLAD control is to meet the active power requirement of the loads from the generated solar PV power, and after satisfying the load demand, the excess power is supplied to the grid. However, when the generated solar power is less than the load demand, then LLLAD meets the load by taking extra required power from the grid. During these power management processes, on the grid side, the power quality is maintained. During daytime, the proposed control technique provides load balancing, power factor correction, and harmonic filtering. Moreover, when solar irradiation is zero, then the dc-link capacitor and a voltage-source converter act as a distribution static compensator, which enhances the utilization factor of the system. The proposed techniques are modeled, and their performances are verified experimentally on a developed prototype in solar insolation variation conditions, unbalanced loading, and in different grid disturbances such as over- and undervoltage, phase imbalance, harmonics distortion in the grid voltage, etc. Test results have met the objectives of the proposed paper, and parameters are under the permissible limit, according to the IEEE-519 standard. © 2018 IEEE.","Grid-integrated system; incremental conductance (InC); maximum power point tracking (MPPT); power quality; solar photovoltaic (PV) array","Convolution; Electric power transmission networks; Harmonic analysis; Heuristic algorithms; Indium compounds; Learning algorithms; Maximum power point trackers; Photovoltaic cells; Power quality; Quality control; Solar power generation; Solar radiation; Topology; Voltage control; Incremental conductance; Incremental conductances (INC); Integrated systems; Power factor corrections; Power harmonic filters; Solar PV arrays; Steady state; Steady state oscillation; Electric power system control","Kumar, N.; Department of Electrical Engineering, India; email: nishant.kumar1729@gmail.com",,"Institute of Electrical and Electronics Engineers Inc.",02780046,,ITIED,,"English","IEEE Trans Ind Electron",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85059810105
"Nougain V., Jena M.K., Panigrahi B.K.","57202926201;56181065100;25637555100;","Decentralised wide-area back-up protection scheme based on the concept of centre of reactive power",2019,"IET Generation, Transmission and Distribution","13","20",,"4551","4557",,8,"10.1049/iet-gtd.2018.6208","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074596762&doi=10.1049%2fiet-gtd.2018.6208&partnerID=40&md5=a6fa1104ab691463bb2059400121f638","Electrical Engineering Department, Indian Institute of Technology, Delhi, India; Department of Electrical Engineering, Indian Institute of Technology, Palakkad, India","Nougain, V., Electrical Engineering Department, Indian Institute of Technology, Delhi, India; Jena, M.K., Department of Electrical Engineering, Indian Institute of Technology, Palakkad, India; Panigrahi, B.K., Electrical Engineering Department, Indian Institute of Technology, Delhi, India","Here, a new decentralised approach-based wide-area back-up protection (WABP) scheme is proposed for faulted line identification (FLI). The scheme is divided into two sub-routines, i.e. possible faulted region (PFR) identification and FLI. Initially, the power system under study is divided into different coherent regions. The concept of centre of reactive power (CORP) is used to accomplish the task of PFR. Once the faulted region is identified, FLI is done by continuously monitoring the direction of reactive power flow (DORPF) of each line within the PFR. The proposed scheme is extensively tested on IEEE-39 bus test system for different types of faults. The performance of the scheme under stressed system conditions is also investigated. The obtained results show that the suggested algorithm is able to maintain the balance between dependability and security aspects of the protection logic. © The Institution of Engineering and Technology 2019.",,"Electric load flow; Reactive power; Bus test systems; Decentralised; Line identifications; Protection logic; Reactive power flow; Security aspects; System conditions; Wide-area back-up protections; Wide area networks","Nougain, V.; Electrical Engineering Department, India; email: vibhutinougain91@gmail.com",,"Institution of Engineering and Technology",17518687,,,,"English","IET Gener. Transm. Distrib.",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85074596762
"Konar D., Bhattacharyya S., Dey S., Panigrahi B.K.","56026413100;7402157487;37012494000;25637555100;","Opti-QIBDS Net: A Quantum-Inspired Optimized Bi-Directional Self-supervised Neural Network Architecture for Automatic Brain MR Image Segmentation",2019,"IEEE Region 10 Annual International Conference, Proceedings/TENCON","2019-October",,"8929585","761","766",,8,"10.1109/TENCON.2019.8929585","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077674159&doi=10.1109%2fTENCON.2019.8929585&partnerID=40&md5=03feb1c454495344f998ef71edce7320","Indian Institute of Technology Delhi, Department of Electrical Engineering, New Delhi, India; RCC Institute of Information Technology, Department of Information Technology, Kolkata, India; Sukanta Mahavidyalaya, Department of Computer Science and Engineering, Jalpaiguri, India","Konar, D., Indian Institute of Technology Delhi, Department of Electrical Engineering, New Delhi, India; Bhattacharyya, S., RCC Institute of Information Technology, Department of Information Technology, Kolkata, India; Dey, S., Sukanta Mahavidyalaya, Department of Computer Science and Engineering, Jalpaiguri, India; Panigrahi, B.K., Indian Institute of Technology Delhi, Department of Electrical Engineering, New Delhi, India","A quantum-inspired self-supervised neural network framework titled Quantum-Inspired Optimized Bi-Directional Self-Organizing Neural Network (Opti-QIBDS Net) suitable for fully automated MR image segmentation is suggested in this article. The suggested Opti-QIBDS Net is characterized by Otsu's multi-class level thresholding scheme based optimized Quantum Inspired Multi-level Sigmoidal (Opti-QIMUSIG) activation function. The network layers of the Opti-QIBDS Net architecture are inter-connected through second order neighborhood based topology and constituted by quantum neurons. The intermediate and output layers of the Opti-QIBDS Net framework are inter-connected through counter propagation of quantum states and pixel intensities are self-organized in counter-propagation fashion obviating any external supervision. Quantum observation is carried out at the end to obtain the segmented tumor from the superposition of quantum states. The proposed optimized self-supervised network architecture has been tested on T-{1} CE-weighted MR images and found to be very efficient while compared with other supervised and unsupervised approaches. © 2019 IEEE.","Convolutional Neural Network; QBDSONN; Quantum Computing; Quantum Inspired Multi-level Sigmoidal Activation function","Backpropagation; Chemical activation; Image segmentation; Magnetic resonance imaging; Network layers; Neural networks; Quantum computers; Quantum optics; Brain MR image segmentation; Convolutional neural network; QBDSONN; Quantum Computing; Self-organizing neural network; Sigmoidal activation functions; Supervised neural networks; Unsupervised approaches; Network architecture",,,"Institute of Electrical and Electronics Engineers Inc.",21593442,9781728118956,85QXA,,"English","IEEE Reg 10 Annu Int Conf Proc TENCON",Conference Paper,"Final","",Scopus,2-s2.0-85077674159
"Ghosh S., Bhatnagar M.R., Panigrahi B.K.","57220046270;15833947700;25637555100;","Defense against unknown broadband jammer for time-critical operation in smart grid",2019,"IET Communications","13","15",,"2261","2272",,2,"10.1049/iet-com.2019.0005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072104414&doi=10.1049%2fiet-com.2019.0005&partnerID=40&md5=3473ebb2bb944d296b6c4609f248d4d0","Department of Electrical Engineering, Indian Institute of Technology Delhi, Hauz Khas, New Delhi, 110 016, India","Ghosh, S., Department of Electrical Engineering, Indian Institute of Technology Delhi, Hauz Khas, New Delhi, 110 016, India; Bhatnagar, M.R., Department of Electrical Engineering, Indian Institute of Technology Delhi, Hauz Khas, New Delhi, 110 016, India; Panigrahi, B.K., Department of Electrical Engineering, Indian Institute of Technology Delhi, Hauz Khas, New Delhi, 110 016, India","In this work, the authors consider the communication network of a power substation, where multiple intelligent electronic devices (IEDs) transmit their delay sensitive control and monitoring messages to a common receiver over a wireless network; in the presence of a broadband jammer, which is capable of jamming multiple channels simultaneously. The objective of the IEDs is to successfully transmit their messages within a specified time, whereas the jammer wants to obstruct IED's transmission. A novel utility function is designed for the players, that addresses the time-critical nature of communication. Due to the conflicting interest of the IEDs and the jammer, they model the interaction between them as a repeated Bayesian zero-sum game, which also addresses the repeated interaction among the IEDs and the jammer, and the unavailability of exact information about the jammer. The equilibrium strategies for both the scenarios of perfect and imperfect monitoring are derived and verified through simulation results. Further, the performance of the proposed game model in various scenarios is thoroughly compared in the result section. Finally, the efficacy of the proposed defence strategies is tested in a practical communication network of a power substation under jamming, which is simulated in Optimised Network Engineering Tool (OPNET). © The Institution of Engineering and Technology 2019.",,"Electric power transmission networks; Electric substations; Smart power grids; Control and monitoring; Equilibrium strategy; Imperfect monitoring; Intelligent electronic device; Multiple channels; Network engineering; Novel utility function; Power substations; Jamming","Ghosh, S.; Department of Electrical Engineering, India; email: saptarshi.ghosh@ee.iitd.ac.in",,"Institution of Engineering and Technology",17518628,,,,"English","IET Commun.",Article,"Final","",Scopus,2-s2.0-85072104414
