"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Zhang X.; Wu Z.; Feng Y.; Xu P.","Zhang, Xiaoling (55604838800); Wu, Zezhou (43462190000); Feng, Yong (56580789700); Xu, Pengpeng (50263740800)","55604838800; 43462190000; 56580789700; 50263740800","""Turning green into gold"": A framework for energy performance contracting (EPC) in China's real estate industry","2015","Journal of Cleaner Production","109","","","166","173","7","65","10.1016/j.jclepro.2014.09.037","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925312225&doi=10.1016%2fj.jclepro.2014.09.037&partnerID=40&md5=fb25b6abc388f7a3ad32358fa2889bab","Department of Public Policy, City University of Hong Kong, Tat Chee Avenue, Kowloon, Hong Kong; Department of Building and Real Estate, Hong Kong Polytechnic University, Kowloon, Hong Kong; School of Construction Management and Real Estate, Chongqing University, Chongqing, China","Zhang X., Department of Public Policy, City University of Hong Kong, Tat Chee Avenue, Kowloon, Hong Kong; Wu Z., Department of Building and Real Estate, Hong Kong Polytechnic University, Kowloon, Hong Kong; Feng Y., Department of Building and Real Estate, Hong Kong Polytechnic University, Kowloon, Hong Kong; Xu P., School of Construction Management and Real Estate, Chongqing University, Chongqing, China","There is a growing interest in a sustainable built environment and green technologies are gaining worldwide attention. However, implementing green technologies usually requires more investment than using traditional technologies and the payback period tends to be very long. In China, most developers sell their properties and subsequently transfer the ownership to customers. Hence, a crucial problem for promoting green construction is that developers cannot obtain economic profits (""gold"") from implementing ""green"" technologies. Meanwhile, other stakeholders, such as property management companies, are also hesitant to adopt green technologies because of the large investment involved and their lack of experience. To tackle this problem, an energy performance contracting (EPC) based framework is proposed, to turn ""green"" investment into ""gold"" benefit by careful sharing of the risks existed. The framework was developed by conducting a focus group meeting with three experienced representatives from developer, property management company and energy service company respectively. A real-life case study, which includes both energy efficient system retrofit and new construction, is used to estimate the costs and benefits involved to demonstrate and verify the conceptual framework. The results show that the proposed framework can support the application of green technologies in both types of projects. Economic benefits as well as environmental benefits can be gained for the project stakeholders and the whole society. © 2014 Elsevier Ltd. All rights reserved.","China; Energy performance contracting (EPC); Energy service company (ESCO); Framework; Green technology","Economics; Energy efficiency; Energy management; Gold; China; Energy performance contracting; Energy service company; Framework; Green technology; Investments","Z. Wu; Department of Building and Real Estate, Hong Kong Polytechnic University, Kowloon, Hong Kong; email: 12900908r@connect.polyu.hk","","Elsevier Ltd","09596526","","JCROE","","English","J. Clean. Prod.","Article","Final","","Scopus","2-s2.0-84925312225"
"Wang F.; Cheng Z.; Keung C.; Reisner A.","Wang, Feng (57920084700); Cheng, Zhihua (56735081700); Keung, Christine (56736474400); Reisner, Ann (7005040117)","57920084700; 56735081700; 56736474400; 7005040117","Impact of manager characteristics on corporate environmental behavior at heavy-polluting firms in Shaanxi, China","2015","Journal of Cleaner Production","108","","","707","715","8","33","10.1016/j.jclepro.2015.09.059","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988836690&doi=10.1016%2fj.jclepro.2015.09.059&partnerID=40&md5=0026d83791dd209efea26f5ad6f5458d","School of Economics and Management, Northwest University, No. 229 North Tai Bai Avenue, Xi'an, Shaanxi, 710069, China; Wellesley College, 106 Central Street, Wellesley, 02481, MA, United States; University of Illinois at Urbana-Champaign, 242 Gregory Hall, 810 S. Wright Street, Urbana, 61801, IL, United States","Wang F., School of Economics and Management, Northwest University, No. 229 North Tai Bai Avenue, Xi'an, Shaanxi, 710069, China; Cheng Z., School of Economics and Management, Northwest University, No. 229 North Tai Bai Avenue, Xi'an, Shaanxi, 710069, China; Keung C., Wellesley College, 106 Central Street, Wellesley, 02481, MA, United States; Reisner A., University of Illinois at Urbana-Champaign, 242 Gregory Hall, 810 S. Wright Street, Urbana, 61801, IL, United States","Air pollution is a major health hazard in China and a serious focus of governmental concern. To reduce the levels of air pollution will take a strategic realignment of priorities for all of the major players responsible for monitoring and implementing environmental controls to air emissions. Gaining and maintaining compliance of on-the-ground company directors and managers is essential to adequate pollution control, but to date little is known about how managers of heavily polluting companies view pro-environmental measures in their company operation. This paper identifies common characteristics of managers in heavy polluting industries, and measures the impact these characteristics have on corporate environmental behavior based on the survey data that was collected in 2013 from sixty energy companies in China's Shaanxi Province. Personal characteristics of these managers include age, gender, place of birth, level of education, average monthly household income, department, position, environmental awareness, and environmental behavior. Empirical results show that 33.5% of managers that belong to companies with high corporate environmental behavior scores also have the highest level of environmental awareness and environmental behavior. Managers' environmental behavior, awareness and education are significantly positively correlated to corporate environmental behavior. The research also discovered that managers' seniority is positively correlated with corporate environmental behavior, which indicates that senior managers have higher environmental awareness and knowledge. The paper concluded that distinct differences between senior management types related to their core underlying values and these differences matter both for environmental protection and training. Understanding how company directors and managers view their roles in relationship to company environmental protection will require a nuanced approach that rejects a simple uni-dimensional conceptualization of company managers' relationship to environmental implementation. By extension, a ""single-service"" educational approach will also need to be rejected since one message aimed at one set of values will not tap into the range of environmental motivations and values currently held by those in management positions and therefore will be less effective than training approaches that are targeted at specific types of managers. © 2015 Elsevier Ltd.","Corporate environmental behavior; Environmental awareness; Heavy-polluting firms; Managers characteristics; Senior managers","Air pollution; Behavioral research; Compliance control; Environmental protection; Health hazards; Managers; Personnel training; Pollution control; Educational approach; Environmental awareness; Environmental behavior; Environmental control; Environmental measures; Heavy-polluting firms; Personal characteristics; Senior managers; Environmental management","","","Elsevier Ltd","09596526","","JCROE","","English","J. Clean. Prod.","Article","Final","","Scopus","2-s2.0-84988836690"
"Chiang Y.H.; Li J.; Zhou L.; Wong F.K.W.; Lam P.T.I.","Chiang, Yat Hung (7201593363); Li, Jing (55720526200); Zhou, Lu (55615073400); Wong, Francis K.W. (14421793500); Lam, Patrick T.I. (7202366008)","7201593363; 55720526200; 55615073400; 14421793500; 7202366008","The nexus among employment opportunities, life-cycle costs, and carbon emissions: A case study of sustainable building maintenance in Hong Kong","2015","Journal of Cleaner Production","109","","","326","335","9","62","10.1016/j.jclepro.2014.07.069","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028222457&doi=10.1016%2fj.jclepro.2014.07.069&partnerID=40&md5=5a9ce35ccc989cbd964338c71a40d863","Hong Kong Polytechnic University, Department of Building and Real Estate, Hong Kong, Hong Kong; City University of Hong Kong, Department of Public Policy, Hong Kong, Hong Kong","Chiang Y.H., Hong Kong Polytechnic University, Department of Building and Real Estate, Hong Kong, Hong Kong; Li J., City University of Hong Kong, Department of Public Policy, Hong Kong, Hong Kong; Zhou L., Hong Kong Polytechnic University, Department of Building and Real Estate, Hong Kong, Hong Kong; Wong F.K.W., Hong Kong Polytechnic University, Department of Building and Real Estate, Hong Kong, Hong Kong; Lam P.T.I., Hong Kong Polytechnic University, Department of Building and Real Estate, Hong Kong, Hong Kong","Hong Kong's construction industry is currently facing problems involving a rapidly aging workforce and labor shortage. With Hong Kong as the case study, this paper illustrates how existing residential buildings can be repaired and maintained using alternative materials, in order to minimize life-cycle labor inputs, costs, or carbon emissions. With different combinations of repair and maintenance materials, two of the three objectives can be achieved at any one time, when labor inputs, costs, and carbon emissions are set as separate constraints. With our methodology, we are able to identify materials that would cost the least, emit minimum carbon levels, and require the right levels of labor resources in relation to residential building maintenance. These can support the adoption of green technologies that suit the socio-economic and physical environment of Hong Kong. © 2014 Elsevier Ltd. All rights reserved.","Building maintenance; Carbon emission; Labor; Life-cycle cost; Optimization","Buildings; Construction industry; Costs; Housing; Intelligent buildings; Maintenance; Optimization; Personnel; Repair; Sustainable development; Alternative materials; Building maintenance; Carbon emissions; Employment opportunities; Existing residential buildings; Lifecycle costs; Physical environments; Repair and maintenance; Life cycle","J. Li; City University of Hong Kong, Department of Public Policy, Hong Kong, Hong Kong; email: lijingpekingkr@gmail.com","","Elsevier Ltd","09596526","","JCROE","","English","J. Clean. Prod.","Article","Final","","Scopus","2-s2.0-85028222457"
"Schaltegger S.; Zvezdov D.","Schaltegger, Stefan (6602922601); Zvezdov, Dimitar (37023678100)","6602922601; 37023678100","Expanding material flow cost accounting. Framework, review and potentials","2015","Journal of Cleaner Production","108","","","1333","1341","8","47","10.1016/j.jclepro.2014.08.040","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028194053&doi=10.1016%2fj.jclepro.2014.08.040&partnerID=40&md5=8972de2f25b4b4e8d0a81de99af23ddc","Centre for Sustainability Management (CSM), Leuphana University Lüneburg, Scharnhorstr. 1, Lüneburg, D-21335, Germany","Schaltegger S., Centre for Sustainability Management (CSM), Leuphana University Lüneburg, Scharnhorstr. 1, Lüneburg, D-21335, Germany; Zvezdov D., Centre for Sustainability Management (CSM), Leuphana University Lüneburg, Scharnhorstr. 1, Lüneburg, D-21335, Germany","Existing research argues that impressive environmental and economic benefits can be and have been achieved with Material Flow Cost Accounting (MFCA). This paper examines the body of literature on MFCA and identifies a limited application of MFCA in comparison to its potential application. Examining the scope of MFCA shows that the methodological proposals and applications are largely focused on production related decisions. So far, the growing (but still limited) body of research on MFCA has not been linked with the conceptual developments in environmental management accounting (EMA). By conducting a literature review based on the EMA framework, additional decision situations and decision makers are identified and the potential benefits of expanding MFCA are discussed. This paper provides a research agenda both for developing MFCA tools and subsequently for spreading them to new areas, where they can contribute to the sustainable development of organizations, the economy and society. Practitioners could benefit from this paper by considering additional areas of applications for MFCA in the specific settings of their company. © 2014 Elsevier Ltd.","Decision support; Environmental management; Environmental management accounting; Framework; Literature review; Material flow cost accounting","Costs; Decision making; Decision support systems; Economics; Environmental management; Sustainable development; Decision supports; Environmental management accountings; Framework; Literature reviews; Material Flow; Cost accounting","S. Schaltegger; Centre for Sustainability Management (CSM), Leuphana University Lüneburg, Lüneburg, Scharnhorstr. 1, D-21335, Germany; email: schaltegger@uni.leuphana.de","","Elsevier Ltd","09596526","","JCROE","","English","J. Clean. Prod.","Article","Final","","Scopus","2-s2.0-85028194053"
"Cobut A.; Beauregard R.; Blanchet P.","Cobut, Aline (55362007000); Beauregard, Robert (7003888792); Blanchet, Pierre (7102260600)","55362007000; 7003888792; 7102260600","Reducing the environmental footprint of interior wood doors in non-residential buildings - Part 2: Ecodesign","2015","Journal of Cleaner Production","109","","","247","259","12","22","10.1016/j.jclepro.2015.05.068","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930358733&doi=10.1016%2fj.jclepro.2015.05.068&partnerID=40&md5=aea8393408205831655dc9db943cde35","Renewable Materials Research Center, Faculté de Foresterie, de Géographie et de Géomatique, Université Laval, Québec, G1V 0A6, QC, Canada","Cobut A., Renewable Materials Research Center, Faculté de Foresterie, de Géographie et de Géomatique, Université Laval, Québec, G1V 0A6, QC, Canada; Beauregard R., Renewable Materials Research Center, Faculté de Foresterie, de Géographie et de Géomatique, Université Laval, Québec, G1V 0A6, QC, Canada; Blanchet P., Renewable Materials Research Center, Faculté de Foresterie, de Géographie et de Géomatique, Université Laval, Québec, G1V 0A6, QC, Canada","Ecodesign is a concept that emerged few decades ago as a response to the larger concept of sustainable development. Multiple tools exist to address ecodesign. Life Cycle Assessment, a comprehensive, robust and recognized evaluation tool, enables to identify the product environmental profile. Based on previous LCA results on interior wood doors, this paper aims at proposing an ecodesign strategy based on the generation and evaluation of alternative scenarios. The three selected targets for environmental improvement are particleboard components, transportation and end-of-life. For the particleboard manufacturing, the use of adhesives based on bio-sourced resources was not very conclusive, except for the use of pine tannins in panel manufacture that showed promising results. Concerning transportation issues, switching from road to rail transportation, as well as having a local supplier, decreased the overall environmental impact of the door. The most notable alternative was the end-of-life recycling scenario. The reutilization of the door core in the door manufacturing process proved a great benefit due to the avoidance of new raw materials production. Developing services around door recovery and remanufacturing seems promising in reducing doors environmental impacts. This scenario would be readily viable and realistic. © 2015 Elsevier Ltd. All rights reserved.","Appearance wood products; Design for environment; Ecodesign; Interior wooden doors; Non-residential buildings; Remanufacturing","Buildings; Doors; Ecodesign; Housing; Life cycle; Manufacture; Particle board; Product design; Sustainable development; Design for Environment; Environmental footprints; Environmental improvements; Life Cycle Assessment (LCA); Manufacturing process; Remanufacturing; Residential building; Wooden door; Environmental impact","A. Cobut; Renewable Materials Research Center, Faculté de Foresterie, de Géographie et de Géomatique, Université Laval, Québec, G1V 0A6, Canada; email: aline.cobut.1@ulaval.ca","","Elsevier Ltd","09596526","","JCROE","","English","J. Clean. Prod.","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84930358733"
"Matsumoto N.; Elder M.; Ogihara A.","Matsumoto, Naoko (26645075300); Elder, Mark (57211903894); Ogihara, Akira (56785752700)","26645075300; 57211903894; 56785752700","Japan's policy to reduce emissions of volatile organic compounds: Factors that facilitate industry participation in voluntary actions","2015","Journal of Cleaner Production","108","","","931","943","12","8","10.1016/j.jclepro.2015.06.145","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956670391&doi=10.1016%2fj.jclepro.2015.06.145&partnerID=40&md5=6348686812f013b4f51929d630a46e1e","Institute for Global Environmental Strategies (IGES), 2108-11 Kamiyamaguchi, Hayama, Kanagawa, 240-0115, Japan; Kawasaki Environment Research Institute, Environment Bureau, City of Kawasaki, 3-25-13, Tonomachi, Kawasaki-ku, Kawasaki-city, 210-0821, Japan","Matsumoto N., Institute for Global Environmental Strategies (IGES), 2108-11 Kamiyamaguchi, Hayama, Kanagawa, 240-0115, Japan; Elder M., Institute for Global Environmental Strategies (IGES), 2108-11 Kamiyamaguchi, Hayama, Kanagawa, 240-0115, Japan; Ogihara A., Institute for Global Environmental Strategies (IGES), 2108-11 Kamiyamaguchi, Hayama, Kanagawa, 240-0115, Japan, Kawasaki Environment Research Institute, Environment Bureau, City of Kawasaki, 3-25-13, Tonomachi, Kawasaki-ku, Kawasaki-city, 210-0821, Japan","Existing research on business participation in voluntary environmental programs emphasizes a variety of explanations, including regulatory pressure and incentives, market pressure, self-regulation, and firm size. However, most of this literature focuses on cases from North America and Europe. The contribution of this research is to examine how well this literature applies to a different geographical region and policy context by examining the case of Japan's recent policy mix to reduce emissions of volatile organic compounds following revisions to Japan's Air Pollution Control Law. The scientific and policy significance of this case includes a high level of private sector voluntary participation and a sizable reduction in volatile organic compound emissions (44.1 percent). Moreover, the case is related to the major global air pollution priorities of particulate matter and ozone, since volatile organic compounds are important precursors of these two secondary pollutants. This was also the first case in Japan's environmental policy to use a combination of regulatory and voluntary approaches. This study draws upon records of official policy discussions, data related to relevant industry associations, and other primary source documents to test hypotheses on participation in voluntary programs for two relatively large emitting industries with high emission capture rates in Japan: the chemical and printing industries. The results indicate that explanations for the participation of Japanese firms are largely consistent with arguments based on North American and European cases regarding regulatory pressure and incentives, market pressure, and self-regulation, but only partially consistent regarding the role of firm size. The analysis shows that there were similarities and differences in the factors influencing the participation of the two industries which were partly related to industrial associations and industrial structure. In addition, the results highlight the importance of two points which are less emphasized by existing literature, the business-government bargaining process, and how to maintain the credibility of regulatory threats and avoid regulatory capture. Several policy implications for the design of voluntary approaches are presented. © 2015 Elsevier Ltd.","Air pollution; Business participation; Japanese environmental policy; Policy mix; Volatile organic compounds (VOCs); Voluntary approach","Air pollution; Air pollution control; Commerce; Deregulation; Environmental regulations; Gas chromatography; Organic compounds; Pollution; Pollution control; Public policy; Volatile organic compounds; Environmental policy; Industrial associations; Industrial structures; Industry participations; Volatile organic compound emission; Voluntary approach; Voluntary environmental programs; Voluntary participation; Environmental protection","N. Matsumoto; Institute for Global Environmental Strategies (IGES), Hayama, Kanagawa, 2108-11 Kamiyamaguchi, 240-0115, Japan; email: n-matsumoto@iges.or.jp","","Elsevier Ltd","09596526","","JCROE","","English","J. Clean. Prod.","Conference paper","Final","","Scopus","2-s2.0-84956670391"
"Benne B.; Mang P.","Benne, Beatrice (58037273400); Mang, Pamela (55011227900)","58037273400; 55011227900","Working regeneratively across scales - Insights from nature applied to the built environment","2015","Journal of Cleaner Production","109","","","42","52","10","34","10.1016/j.jclepro.2015.02.037","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924778054&doi=10.1016%2fj.jclepro.2015.02.037&partnerID=40&md5=25d513f11ad5a5079a0d0157d160e733","Soma Integral Consulting, 484 Merritt Ave, Oakland, 94610, CA, United States; Regenesis Group, 1219 Luisa Street, Santa Fe, 87505, NM, United States","Benne B., Soma Integral Consulting, 484 Merritt Ave, Oakland, 94610, CA, United States; Mang P., Regenesis Group, 1219 Luisa Street, Santa Fe, 87505, NM, United States","Regenerative design and development calls for a paradigm shift from a 'mechanistic' to the 'ecological' or living systems worldview that has emerged from living systems sciences over the last century. The challenge for design practitioners educated and now working in a field mainly shaped by a mechanistic worldview is two-fold: first, to develop an understanding of how life and living systems work and, second, to translate that understanding into application. The benefit of taking on this challenge is that understanding natural systems offers powerful insights into how to work across different scales of the built environment. This article looks at key and interrelated living systems' principles and discusses how they translate into design and development practices, using examples of how actual projects worked across multiple scales. Principles considered include the nested or holarchic nature of living systems and the fact that a living system is not separable from its environment. Mapping a design project as a socio-ecological system nested within its immediate and larger contexts shifts designers' attention to the unique and distinctive character of the project environment and the reciprocal influence project and environment exercise on each other. A second principle, that ecosystems' self-organizing and self-regenerating capacity depends on its members carrying out their systemic roles, provides the basis for defining and designing a distinctive and generative role for a project within its place. This role enables the project to be both more valuable and valued as a source of greater viability and vitality and, drawing on the first principle, to have a positive influence across different scales of nested wholes. The third principle relates to the webs of dynamic flows and metabolic exchanges that enable life to continuously produce, repair, and perpetuate itself. Using insights gained from the understanding of the essence of a place, design practitioners are able to identify transformative nodal points within those webs where targeted acupuncture interventions, sometimes small, can influence the health and renewal of the whole system. In conclusion, the article first summarizes how working from an understanding of living systems principles provides insights into working regeneratively across and within different scales. Second, it addresses the need for the role of designers to shift and for new capabilities to be developed in order to incorporate those insights into new development and design practices. Third, it highlights some of the challenges design practitioners might face when implementing a living systems approach within the complexity of multi-disciplinary design projects. © 2015 Elsevier Ltd. All rights reserved.","Built environment; Ecology; Living systems; Practice; Regenerative design; Worldviews","Biological systems; Ecology; Repair; Built environment; Living systems; Practice; Regenerative designs; Worldviews; Design","B. Benne; Soma Integral Consulting, Oakland, 484 Merritt Ave, 94610, United States; email: beatrice@soma-integral.com","","Elsevier Ltd","09596526","","JCROE","","English","J. Clean. Prod.","Article","Final","","Scopus","2-s2.0-84924778054"
"Ma J.; Okudan Kremer G.E.","Ma, Junfeng (58842732200); Okudan Kremer, Gül E. (23094386000)","58842732200; 23094386000","A fuzzy logic-based approach to determine product component end-of-life option from the views of sustainability and designer's perception","2015","Journal of Cleaner Production","108","","","289","300","11","72","10.1016/j.jclepro.2015.08.029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065701434&doi=10.1016%2fj.jclepro.2015.08.029&partnerID=40&md5=74e0ee93ef041031eb8efac5ab2a9893","Dept. of Industrial and Manufacturing Engineering, The Pennsylvania State University, University Park, 16802, PA, United States; School of Engineering Design, Dept. of Industrial and Manufacturing Engineering, The Pennsylvania State University, University Park, 16802, PA, United States","Ma J., Dept. of Industrial and Manufacturing Engineering, The Pennsylvania State University, University Park, 16802, PA, United States; Okudan Kremer G.E., School of Engineering Design, Dept. of Industrial and Manufacturing Engineering, The Pennsylvania State University, University Park, 16802, PA, United States","In our time, an increasing awareness of short and long-term environmental impacts is driving manufacturers to reconsider the product design process with a view toward sustainability. Manufacturers have begun to consider the need for responsible resource use and management during the product life cycle, particularly during the product retirement phase. The determination of appropriate end-of-life (EOL) options for retired product components is a crucial issue relative to most manufactured products. To address it, the product design process must be modified to consider sustainability in a comprehensive manner. At present, only limited existing research integrates social sustainability into EOL option determinations; that gap, in part, stimulates this study. We also recognize that a product designer's background and experience will directly affect the EOL strategy selection. Therefore, incorporating the designer's perception along with sustainability dimensions into an EOL strategy determination is essential and also motivates this investigation. In our proposed approach, quantitative indicators are used to assess sustainability dimensions — economic (residual value), environmental (Eco-indicator) and social impact (job creation, human toxic potential and land use) — for each EOL option. The primary merit of this approach is transferring the essential but not directly relevant design preferences into sustainability analysis through fuzzy logic-based transformation equations. An expected value is derived to represent the sustainability value of each EOL option. An automobile gasoline engine is used as a case study to illustrate the methodology. © 2015 Elsevier Ltd","Design for end-of-life (EOL); Design for sustainability; Fuzzy analysis; Multi-criteria decision making","Automobile manufacture; Computer circuits; Decision making; Ecodesign; Electroplating shops; Environmental impact; Fuzzy logic; Land use; Life cycle; Product design; Design for end of lives; Fuzzy analysis; Fuzzy logic based approach; Multi criteria decision making; Quantitative indicators; Sustainability analysis; Sustainability dimensions; Transformation equationss; Sustainable development","J. Ma; Dept. of Industrial and Manufacturing Engineering, The Pennsylvania State University, University Park, 16802, United States; email: jom5367@psu.edu","","Elsevier Ltd","09596526","","JCROE","","English","J. Clean. Prod.","Article","Final","","Scopus","2-s2.0-85065701434"
"Son H.; Kim C.","Son, Hyojoo (25641528300); Kim, Changwan (57201042986)","25641528300; 57201042986","Early prediction of the performance of green building projects using pre-project planning variables: Data mining approaches","2015","Journal of Cleaner Production","109","","","144","151","7","45","10.1016/j.jclepro.2014.08.071","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923342424&doi=10.1016%2fj.jclepro.2014.08.071&partnerID=40&md5=f282c572ebbca8adc7fb0095df3d5a97","Department of Architectural Engineering, Chung-Ang University, Seoul, 156-756, South Korea","Son H., Department of Architectural Engineering, Chung-Ang University, Seoul, 156-756, South Korea; Kim C., Department of Architectural Engineering, Chung-Ang University, Seoul, 156-756, South Korea","Early prediction of the success of green building projects is an important and challenging issue. The aim of this study was to develop a model to predict the cost and schedule performance of green building projects based on the level of definition during the pre-project planning phase. To this end, a three-step process was proposed: pre-processing, variable selection, and prediction model construction. Data from 53 certified green buildings were used to develop the models. After balancing the data set with respect to the proportion of cases in each of the outcome categories by pre-processing, the number of input variables was reduced from 64 to 13 and 7 for cost and schedule performance prediction respectively, using the ReliefF-W variable selection method. Then, cost and schedule performance prediction models were constructed using the selected variables and four different classifiers: a support vector machine (SVM), a back-propagation neural network (BPNN), a C4.5 decision tree algorithm (C4.5), and a logistic regression (LR). The classification performance of the four models was compared to assess their applicability. The SVM models exhibited the highest accuracy, sensitivity, and specificity in predicting both the cost and schedule performance of green building projects. The results of this study empirically validated that the cost and schedule performance of green building projects is highly dependent on the quality of definition in the pre-project planning phase. © 2014 Elsevier Ltd. All rights reserved.","Certified green building; Cost performance; Data mining; Green building project; Pre-project planning; Schedule performance","Backpropagation; Backpropagation algorithms; Buildings; Costs; Decision trees; Forecasting; Neural networks; Support vector machines; Trees (mathematics); Cost performance; Green building projects; Green buildings; Pre-project planning; Schedule performance; Data mining","C. Kim; Department of Architectural Engineering, Chung-Ang University, Seoul, 156-756, South Korea; email: changwan@cau.ac.kr","","Elsevier Ltd","09596526","","JCROE","","English","J. Clean. Prod.","Article","Final","","Scopus","2-s2.0-84923342424"
"Younesi M.; Roghanian E.","Younesi, Mojdeh (57200384555); Roghanian, Emad (16305463900)","57200384555; 16305463900","A framework for sustainable product design: A hybrid fuzzy approach based on Quality Function Deployment for Environment","2015","Journal of Cleaner Production","108","","","385","394","9","73","10.1016/j.jclepro.2015.09.028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994237276&doi=10.1016%2fj.jclepro.2015.09.028&partnerID=40&md5=995175f2900fbb71e9171df658417ed6","Faculty of Industrial Engineering, K.N. Toosi University of Technology, Tehran, Iran","Younesi M., Faculty of Industrial Engineering, K.N. Toosi University of Technology, Tehran, Iran; Roghanian E., Faculty of Industrial Engineering, K.N. Toosi University of Technology, Tehran, Iran","The modern manufacturing organizations are focused on making sustainable products by means of costs reduction and prevention of environmental problems. To achieve this, several tools are available to the organizations such as Quality Function Deployment for Environment (QFDE) which is the integration of voice of customer, voice of environment and quality characteristics. In this paper, an integrated QFDE, fuzzy Decision Making Trial and Evaluation Laboratory (DEMATEL) and Fuzzy Analytic Network Process (FANP) is proposed for sustainable product design to help companies identify the best design criteria for a specific product. Therefore, the DEMATEL method is used to assume the interdependence of customer attributes and, in addition, fuzzy Maximum Mean de-Entropy (MMDE) algorithm is utilized to choose the best and practical threshold value in DEMATEL process. Moreover, FANP will be integrated into QFDE as a prioritization technique and also fuzzy Logarithmic Least Squares Method (LLSM) is employed to find weights during the FANP process. An integrated QFDE methodology is appropriate to use in early design, since it does not require detailed information about the product. In order to examine the practicality of the proposed model, a case study is carried out in Iran Transfo Corporation which attracts a significant interest due to its undeniable impacts on the environment. © 2015 Elsevier Ltd.","Fuzzy Analytic Network Process; Fuzzy DEMATEL; Fuzzy Logarithmic Least Squares Method; Maximum mean de-entropy algorithm; Quality Function Deployment for Environment; Sustainable product design","Decision making; Decision theory; Design; Ecodesign; Entropy; Least squares approximations; Product design; Quality function deployment; Sustainable development; Entropy algorithms; Fuzzy analytic network process; Fuzzy dematel; Logarithmic least squares; Sustainable product designs; Fuzzy logic","","","Elsevier Ltd","09596526","","JCROE","","English","J. Clean. Prod.","Article","Final","","Scopus","2-s2.0-84994237276"
"Pan S.-Y.; Du M.A.; Huang I.-T.; Liu I.-H.; Chang E.-E.; Chiang P.-C.","Pan, Shu-Yuan (40361380800); Du, Michael Alex (57215881262); Huang, I-Te (57215881372); Liu, I-Hung (36128729400); Chang, E.-E. (56948196100); Chiang, Pen-Chi (7102736555)","40361380800; 57215881262; 57215881372; 36128729400; 56948196100; 7102736555","Strategies on implementation of waste-to-energy (WTE) supply chain for circular economy system: a review","2015","Journal of Cleaner Production","108","","","409","421","12","414","10.1016/j.jclepro.2015.06.124","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065732447&doi=10.1016%2fj.jclepro.2015.06.124&partnerID=40&md5=59535bb02ed16599c285a828b34ad612","Graduate Institute of Environmental Engineering, National Taiwan University, Taiwan; Rutgers University, NJ, United States; Green Energy and Environment Research Laboratories, Industrial Technology Research Institute, Taiwan; Department of Biochemistry, Taipei Medical University, Taiwan","Pan S.-Y., Graduate Institute of Environmental Engineering, National Taiwan University, Taiwan; Du M.A., Rutgers University, NJ, United States; Huang I.-T., Green Energy and Environment Research Laboratories, Industrial Technology Research Institute, Taiwan; Liu I.-H., Green Energy and Environment Research Laboratories, Industrial Technology Research Institute, Taiwan; Chang E.-E., Department of Biochemistry, Taipei Medical University, Taiwan; Chiang P.-C., Graduate Institute of Environmental Engineering, National Taiwan University, Taiwan","To simultaneously solve the dilemma of energy demand, waste management, and greenhouse gas emission for communities globally, the waste-to-energy (WTE) supply chain as district energy system should be a viable method towards circular industrial economy. Several essential state-of-the-art WTE technologies including combustion, gasification and anaerobic digestion were evaluated. Portfolio options of technologies for different types of WTE supply chains were illustrated for achieving circular economy system. Since policy makers have to address the public concerns prior to promulgate and implement relating regulations, the strategies on implementation of WTE supply chain were proposed to overcome the challenging barriers from the aspects of technology, finance, institution and regulation. A total of eight key task-forces were also proposed for effectively executing the strategies. Furthermore, several successful lessons on WTE supply chains such as green fuel pellet for heating supply and co-digestion of organic wastes for bio-gas production around the world were reviewed and illustrated. © 2015 Elsevier Ltd","Bioenergy; Business model; Combined heat and power; District energy system; Industrial park; Municipal solid waste","Anaerobic digestion; Greenhouse gases; Industrial emissions; Supply chains; Waste incineration; Bio-energy; Business modeling; Combined heat and power; District energy systems; Industrial parks; Municipal solid waste","P.-C. Chiang; Graduate Institute of Environmental Engineering, National Taiwan University, Taiwan; email: pcchiang@ntu.edu.tw","","Elsevier Ltd","09596526","","JCROE","","English","J. Clean. Prod.","Review","Final","","Scopus","2-s2.0-85065732447"
